iso_code3,Region,Year,frac_inen_energy_metals_natural_gas
LA,louisiana,2000,0.2906877243893818
LA,louisiana,2001,0.2955844375767325
LA,louisiana,2002,0.3181835934230861
LA,louisiana,2003,0.3099562230529182
LA,louisiana,2004,0.3071379233285253
LA,louisiana,2005,0.3152104657076218
LA,louisiana,2006,0.2991862224408345
LA,louisiana,2007,0.2993874015466771
LA,louisiana,2008,0.3128010909242486
LA,louisiana,2009,0.3260312013584264
LA,louisiana,2010,0.3484051850712458
LA,louisiana,2011,0.3291550942844613
LA,louisiana,2012,0.3553634614927926
LA,louisiana,2013,0.3608221696074791
LA,louisiana,2014,0.3315148610957524
LA,louisiana,2015,0.3293511856269551
LA,louisiana,2016,0.3401094762891035
LA,louisiana,2017,0.3680027169004212
LA,louisiana,2018,0.3711759373266401
LA,louisiana,2019,0.3947263461112343
LA,louisiana,2020,0.3949755652862672
