"iso_code3","frac_waso_initial_composition_mun_metal","Year"
"LA",0.09,2010
"LA",0.09,2011
"LA",0.09,2012
"LA",0.09,2013
"LA",0.09,2014
"LA",0.09,2015
"LA",0.09,2016
"LA",0.09,2017
"LA",0.09,2018
"LA",0.09,2019
"LA",0.09,2020
