Year,prodinit_ippu_paper_tonne,Iso_code3,Region
2021,8386226.622793961,LA,louisiana
2022,8386226.622793961,LA,louisiana
2023,8386226.622793961,LA,louisiana
2024,8386226.622793961,LA,louisiana
2025,8386226.622793961,LA,louisiana
2026,8386226.622793961,LA,louisiana
2027,8386226.622793961,LA,louisiana
2028,8386226.622793961,LA,louisiana
2029,8386226.622793961,LA,louisiana
2030,8386226.622793961,LA,louisiana
2031,8386226.622793961,LA,louisiana
2032,8386226.622793961,LA,louisiana
2033,8386226.622793961,LA,louisiana
2034,8386226.622793961,LA,louisiana
2035,8386226.622793961,LA,louisiana
2036,8386226.622793961,LA,louisiana
2037,8386226.622793961,LA,louisiana
2038,8386226.622793961,LA,louisiana
2039,8386226.622793961,LA,louisiana
2040,8386226.622793961,LA,louisiana
2041,8386226.622793961,LA,louisiana
2042,8386226.622793961,LA,louisiana
2043,8386226.622793961,LA,louisiana
2044,8386226.622793961,LA,louisiana
2045,8386226.622793961,LA,louisiana
2046,8386226.622793961,LA,louisiana
2047,8386226.622793961,LA,louisiana
2048,8386226.622793961,LA,louisiana
2049,8386226.622793961,LA,louisiana
2050,8386226.622793961,LA,louisiana
