,Year,iso_code3,Region,deminit_trde_freight_mt_km
0,2023,LA,louisiana,338677.0047
1,2024,LA,louisiana,338677.0047
2,2025,LA,louisiana,338677.0047
3,2026,LA,louisiana,338677.0047
4,2027,LA,louisiana,338677.0047
5,2028,LA,louisiana,338677.0047
6,2029,LA,louisiana,338677.0047
7,2030,LA,louisiana,338677.0047
8,2031,LA,louisiana,338677.0047
9,2032,LA,louisiana,338677.0047
10,2033,LA,louisiana,338677.0047
11,2034,LA,louisiana,338677.0047
12,2035,LA,louisiana,338677.0047
13,2036,LA,louisiana,338677.0047
14,2037,LA,louisiana,338677.0047
15,2038,LA,louisiana,338677.0047
16,2039,LA,louisiana,338677.0047
17,2040,LA,louisiana,338677.0047
18,2041,LA,louisiana,338677.0047
19,2042,LA,louisiana,338677.0047
20,2043,LA,louisiana,338677.0047
21,2044,LA,louisiana,338677.0047
22,2045,LA,louisiana,338677.0047
23,2046,LA,louisiana,338677.0047
24,2047,LA,louisiana,338677.0047
25,2048,LA,louisiana,338677.0047
26,2049,LA,louisiana,338677.0047
27,2050,LA,louisiana,338677.0047
