iso_code3,Region,Year,frac_inen_energy_other_product_manufacturing_natural_gas
LA,louisiana,2021,0.3284053415314155
LA,louisiana,2022,0.3227138124222573
LA,louisiana,2023,0.3182736376141199
LA,louisiana,2024,0.3147612444178186
LA,louisiana,2025,0.31151609765695
LA,louisiana,2026,0.3081402783690116
LA,louisiana,2027,0.3045151980435212
LA,louisiana,2028,0.3007497257586869
LA,louisiana,2029,0.2968921861331205
LA,louisiana,2030,0.2930007590717898
LA,louisiana,2031,0.2890839612215563
LA,louisiana,2032,0.2851596307601515
LA,louisiana,2033,0.2812370883657626
LA,louisiana,2034,0.2773303671736535
LA,louisiana,2035,0.2734493789456051
LA,louisiana,2036,0.2696032350011436
LA,louisiana,2037,0.2657518573003774
LA,louisiana,2038,0.2619490040104997
LA,louisiana,2039,0.2582011463584934
LA,louisiana,2040,0.2543705850851603
LA,louisiana,2041,0.2504830498656467
LA,louisiana,2042,0.2466800564836624
LA,louisiana,2043,0.2428552803757027
LA,louisiana,2044,0.2389166790798157
LA,louisiana,2045,0.2350869316762581
LA,louisiana,2046,0.2313641678426478
LA,louisiana,2047,0.2277462530445265
LA,louisiana,2048,0.2242309504041214
LA,louisiana,2049,0.2208158589074014
LA,louisiana,2050,0.2174985171387666
