,Year,iso_code3,Region,frac_trns_mtkm_dem_freight_road_heavy_freight
0,2021,LA,louisiana,0.7874507947884648
1,2022,LA,louisiana,0.7874507947884648
2,2023,LA,louisiana,0.7874507947884648
3,2024,LA,louisiana,0.7874507947884648
4,2025,LA,louisiana,0.7874507947884648
5,2026,LA,louisiana,0.7874507947884648
6,2027,LA,louisiana,0.7874507947884648
7,2028,LA,louisiana,0.7874507947884648
8,2029,LA,louisiana,0.7874507947884648
9,2030,LA,louisiana,0.7874507947884648
10,2031,LA,louisiana,0.7874507947884648
11,2032,LA,louisiana,0.7874507947884648
12,2033,LA,louisiana,0.7874507947884648
13,2034,LA,louisiana,0.7874507947884648
14,2035,LA,louisiana,0.7874507947884648
15,2036,LA,louisiana,0.7874507947884648
16,2037,LA,louisiana,0.7874507947884648
17,2038,LA,louisiana,0.7874507947884648
18,2039,LA,louisiana,0.7874507947884648
19,2040,LA,louisiana,0.7874507947884648
20,2041,LA,louisiana,0.7874507947884648
21,2042,LA,louisiana,0.7874507947884648
22,2043,LA,louisiana,0.7874507947884648
23,2044,LA,louisiana,0.7874507947884648
24,2045,LA,louisiana,0.7874507947884648
25,2046,LA,louisiana,0.7874507947884648
26,2047,LA,louisiana,0.7874507947884648
27,2048,LA,louisiana,0.7874507947884648
28,2049,LA,louisiana,0.7874507947884648
29,2050,LA,louisiana,0.7874507947884648
