,iso_code3,Region,Year,frac_trns_pkm_dem_private_and_public_human_powered
0,LA,louisiana,2022,0.00874618642697902
1,LA,louisiana,2023,0.00874618642697902
2,LA,louisiana,2024,0.00874618642697902
3,LA,louisiana,2025,0.00874618642697902
4,LA,louisiana,2026,0.00874618642697902
5,LA,louisiana,2027,0.00874618642697902
6,LA,louisiana,2028,0.00874618642697902
7,LA,louisiana,2029,0.00874618642697902
8,LA,louisiana,2030,0.00874618642697902
9,LA,louisiana,2031,0.00874618642697902
10,LA,louisiana,2032,0.00874618642697902
11,LA,louisiana,2033,0.00874618642697902
12,LA,louisiana,2034,0.00874618642697902
13,LA,louisiana,2035,0.00874618642697902
14,LA,louisiana,2036,0.00874618642697902
15,LA,louisiana,2037,0.00874618642697902
16,LA,louisiana,2038,0.00874618642697902
17,LA,louisiana,2039,0.00874618642697902
18,LA,louisiana,2040,0.00874618642697902
19,LA,louisiana,2041,0.00874618642697902
20,LA,louisiana,2042,0.00874618642697902
21,LA,louisiana,2043,0.00874618642697902
22,LA,louisiana,2044,0.00874618642697902
23,LA,louisiana,2045,0.00874618642697902
24,LA,louisiana,2046,0.00874618642697902
25,LA,louisiana,2047,0.00874618642697902
26,LA,louisiana,2048,0.00874618642697902
27,LA,louisiana,2049,0.00874618642697902
28,LA,louisiana,2050,0.00874618642697902
