"year","location_code","prodinit_ippu_plastic_tonne"
2010,"ABW",1792.77956934574
2011,"ABW",1936.66467714128
2012,"ABW",1820.24977541266
2013,"ABW",1800.47674262246
2014,"ABW",2126.28662490387
2015,"ABW",2616.31467535734
2016,"ABW",3562.96425170633
2017,"ABW",2821.27507096035
2018,"ABW",2869.00695191352
2019,"ABW",3633.43724288473
2020,"ABW",2543.46505848782
2010,"AGO",64733.6520812565
2011,"AGO",92202.0951297288
2012,"AGO",159074.890943211
2013,"AGO",146405.715513717
2014,"AGO",179894.405467215
2015,"AGO",133136.575644329
2016,"AGO",113046.837391965
2017,"AGO",174301.579495198
2018,"AGO",140030.522891432
2019,"AGO",195865.878006287
2020,"AGO",158921.589245634
2010,"ALB",25326.8533756267
2011,"ALB",28421.5551299399
2012,"ALB",32101.6178588623
2013,"ALB",33600.3629801794
2014,"ALB",32354.6261459603
2015,"ALB",36558.492406254
2016,"ALB",39164.4953853084
2017,"ALB",41525.5648872964
2018,"ALB",47750.681581748
2019,"ALB",46501.0432862722
2020,"ALB",52311.9956699038
2010,"ARE",740326.937054397
2011,"ARE",887946.991972835
2012,"ARE",897945.692570622
2013,"ARE",884382.885938787
2014,"ARE",950144.339702144
2015,"ARE",906528.404488063
2016,"ARE",907032.507658625
2017,"ARE",926831.239027911
2018,"ARE",1103328.8718194
2019,"ARE",1085502.60738257
2020,"ARE",943491.125771426
2010,"ARG",1826142.29683459
2011,"ARG",2009992.66367638
2012,"ARG",2235095.6081046
2013,"ARG",2185507.01148996
2014,"ARG",2069621.2160139
2015,"ARG",2506486.28623638
2016,"ARG",1982546.82124287
2017,"ARG",2119847.22121093
2018,"ARG",1609495.64501998
2019,"ARG",1523597.21565779
2020,"ARG",1468061.21081864
2010,"ARM",12010.4772288678
2011,"ARM",14823.735522228
2012,"ARM",13951.457820412
2013,"ARM",14256.7605078265
2014,"ARM",18449.0868371215
2015,"ARM",13889.5974861502
2016,"ARM",12880.5053502332
2017,"ARM",14358.3473390882
2018,"ARM",16311.4152122488
2019,"ARM",19279.8237781982
2020,"ARM",22096.3253197848
2010,"ASM",1129.62969442211
2011,"ASM",248.176404861661
2012,"ASM",235.419791531584
2013,"ASM",205.155317059242
2014,"ASM",658.944389548816
2015,"ASM",348.364940511203
2016,"ASM",166.425324693505
2017,"ASM",598.562492243713
2018,"ASM",180.41727989003
2019,"ASM",194.832979874657
2020,"ASM",177.30076392088
2010,"ATG",2047.77024895033
2011,"ATG",1382.60391771927
2012,"ATG",2609.93003701165
2013,"ATG",879.939943538299
2014,"ATG",937.861618099594
2015,"ATG",1221.19394971085
2016,"ATG",1273.66345113583
2017,"ATG",1482.48296317132
2018,"ATG",1601.3852199128
2019,"ATG",1627.5980320302
2020,"ATG",1653.17206254953
2010,"AUS",2292628.2856085
2011,"AUS",2572704.23633148
2012,"AUS",2568855.46898976
2013,"AUS",2633154.29488525
2014,"AUS",2546021.86620488
2015,"AUS",2616206.03473377
2016,"AUS",2584270.1811921
2017,"AUS",2743306.05732103
2018,"AUS",2792448.18874953
2019,"AUS",2598544.98042062
2020,"AUS",2652131.26623113
2010,"AUT",2218201.61396563
2011,"AUT",2323008.01333348
2012,"AUT",2252755.70680948
2013,"AUT",2373689.30773845
2014,"AUT",2351289.92158322
2015,"AUT",2201603.2720158
2016,"AUT",2249815.31229241
2017,"AUT",2326392.69371273
2018,"AUT",2434669.03097045
2019,"AUT",2323478.40471292
2020,"AUT",2199854.8299357
2010,"AZE",144235.644683568
2011,"AZE",162244.001492311
2012,"AZE",180089.01535523
2013,"AZE",174821.491189956
2014,"AZE",181031.898872435
2015,"AZE",108552.570675072
2016,"AZE",75185.2573543429
2017,"AZE",76115.502788549
2018,"AZE",86455.0577596849
2019,"AZE",105909.577421316
2020,"AZE",103100.40330202
2010,"BDI",5081.04061717312
2011,"BDI",2864.96072533143
2012,"BDI",6643.97939784687
2013,"BDI",5992.69570914409
2014,"BDI",9000.14142418342
2015,"BDI",10137.4700078348
2016,"BDI",13774.4126495672
2017,"BDI",13464.0422490933
2018,"BDI",8115.81621294998
2019,"BDI",6214.97119205574
2020,"BDI",9477.4726256967
2010,"BEL",4794369.84553454
2011,"BEL",4898333.78352444
2012,"BEL",4750217.39307026
2013,"BEL",5014809.30944145
2014,"BEL",4966721.94200344
2015,"BEL",4029971.03962915
2016,"BEL",3944914.26673011
2017,"BEL",3985839.86958564
2018,"BEL",4080759.92430061
2019,"BEL",3967493.13567333
2020,"BEL",3561752.0446192
2010,"BEN",18638.4861375732
2011,"BEN",33701.2476117831
2012,"BEN",33216.8830324857
2013,"BEN",26204.8953032317
2014,"BEN",27691.371079775
2015,"BEN",28991.8805169573
2016,"BEN",25346.440187468
