iso_code3,Region,Year,frac_inen_energy_electronics_furnace_gas
LA,louisiana,2000,0.0031405728325589
LA,louisiana,2001,0.0030786892089334
LA,louisiana,2002,0.003346334033371
LA,louisiana,2003,0.0033974548683042
LA,louisiana,2004,0.0022447097650941
LA,louisiana,2005,0.002475028728012
LA,louisiana,2006,0.0047547491421266
LA,louisiana,2007,0.0048270313757039
LA,louisiana,2008,0.0048551583153297
LA,louisiana,2009,0.0054662422606336
LA,louisiana,2010,0.004510630581622
LA,louisiana,2011,0.0044769403824521
LA,louisiana,2012,0.0041321442877321
LA,louisiana,2013,0.003707292412689
LA,louisiana,2014,0.0044954042519031
LA,louisiana,2015,0.0046521553563807
LA,louisiana,2016,0.0057574354820043
LA,louisiana,2017,0.0049757573187453
LA,louisiana,2018,0.0051933224733024
LA,louisiana,2019,0.0048043743695917
LA,louisiana,2020,0.0048836384470575
