Year,prodinit_ippu_glass_tonne,Iso_code3,Region
2015,77365.87201124257,LA,louisiana
2016,79785.12823434049,LA,louisiana
2017,81396.68177273964,LA,louisiana
2018,83488.11302627988,LA,louisiana
2019,81565.52433836796,LA,louisiana
2020,81425.29533609995,LA,louisiana
