Year,frac_ippu_cement_clinker,Iso_code3,Region
2015,0.88,LA,louisiana
2016,0.88,LA,louisiana
2017,0.88,LA,louisiana
2018,0.88,LA,louisiana
2019,0.88,LA,louisiana
2020,0.88,LA,louisiana
2021,0.88,LA,louisiana
