,Year,iso_code3,Region,occrate_trns_passenger_per_vehicle_aviation
0,2008,LA,louisiana,115.5
1,2009,LA,louisiana,115.5
2,2010,LA,louisiana,115.5
3,2011,LA,louisiana,115.5
4,2012,LA,louisiana,115.5
5,2013,LA,louisiana,115.5
6,2014,LA,louisiana,115.5
7,2015,LA,louisiana,115.5
8,2016,LA,louisiana,115.5
9,2017,LA,louisiana,115.5
10,2018,LA,louisiana,115.5
11,2019,LA,louisiana,115.5
12,2020,LA,louisiana,115.5
13,2021,LA,louisiana,115.5
14,2022,LA,louisiana,115.5
15,2023,LA,louisiana,115.5
16,2024,LA,louisiana,115.5
17,2025,LA,louisiana,115.5
18,2026,LA,louisiana,115.5
19,2027,LA,louisiana,115.5
20,2028,LA,louisiana,115.5
21,2029,LA,louisiana,115.5
22,2030,LA,louisiana,115.5
23,2031,LA,louisiana,115.5
24,2032,LA,louisiana,115.5
25,2033,LA,louisiana,115.5
26,2034,LA,louisiana,115.5
27,2035,LA,louisiana,115.5
28,2036,LA,louisiana,115.5
29,2037,LA,louisiana,115.5
30,2038,LA,louisiana,115.5
31,2039,LA,louisiana,115.5
32,2040,LA,louisiana,115.5
33,2041,LA,louisiana,115.5
34,2042,LA,louisiana,115.5
35,2043,LA,louisiana,115.5
36,2044,LA,louisiana,115.5
37,2045,LA,louisiana,115.5
38,2046,LA,louisiana,115.5
39,2047,LA,louisiana,115.5
40,2048,LA,louisiana,115.5
41,2049,LA,louisiana,115.5
42,2050,LA,louisiana,115.5
