Year,prodinit_ippu_mining_tonne,Iso_code3,Region
2021,29980000,LA,louisiana
2022,29980000,LA,louisiana
2023,29980000,LA,louisiana
2024,29980000,LA,louisiana
2025,29980000,LA,louisiana
2026,29980000,LA,louisiana
2027,29980000,LA,louisiana
2028,29980000,LA,louisiana
2029,29980000,LA,louisiana
2030,29980000,LA,louisiana
2031,29980000,LA,louisiana
2032,29980000,LA,louisiana
2033,29980000,LA,louisiana
2034,29980000,LA,louisiana
2035,29980000,LA,louisiana
2036,29980000,LA,louisiana
2037,29980000,LA,louisiana
2038,29980000,LA,louisiana
2039,29980000,LA,louisiana
2040,29980000,LA,louisiana
2041,29980000,LA,louisiana
2042,29980000,LA,louisiana
2043,29980000,LA,louisiana
2044,29980000,LA,louisiana
2045,29980000,LA,louisiana
2046,29980000,LA,louisiana
2047,29980000,LA,louisiana
2048,29980000,LA,louisiana
2049,29980000,LA,louisiana
2050,29980000,LA,louisiana
