Year,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_heat_energy,Iso_code3,Region
2015,0.4247949556436982,LA,louisiana
2016,0.427143473858608,LA,louisiana
2017,0.4227461934097843,LA,louisiana
2018,0.4156593138609512,LA,louisiana
2019,0.4015341422663207,LA,louisiana
2020,0.3929845849881788,LA,louisiana
2021,0.4043896788601556,LA,louisiana
