Year,frac_trns_fuelmix_rail_passenger_electricity
2008,0.7780195865070728
2009,0.7686567164179104
2010,0.7664155005382132
2011,0.7671957671957672
2012,0.767590618336887
2013,0.7661795407098121
2014,0.7685088633993743
2015,0.5172413793103449
2016,0.5152173913043478
2017,0.5086206896551724
2018,0.5160599571734475
2019,0.5222929936305732
