Year,iso_code3,pop_lvst_initial_horses
2023,LA,42098
2024,LA,42098
2025,LA,42098
2026,LA,42098
2027,LA,42098
2028,LA,42098
2029,LA,42098
2030,LA,42098
2031,LA,42098
2032,LA,42098
2033,LA,42098
2034,LA,42098
2035,LA,42098
2036,LA,42098
2037,LA,42098
2038,LA,42098
2039,LA,42098
2040,LA,42098
2041,LA,42098
2042,LA,42098
2043,LA,42098
2044,LA,42098
2045,LA,42098
2046,LA,42098
2047,LA,42098
2048,LA,42098
2049,LA,42098
2050,LA,42098
