"Year","Region","iso_code3","frac_inen_energy_agriculture_and_livestock_hydrocarbon_gas_liquids"
2020,"louisiana","LA",0
2021,"louisiana","LA",0
2022,"louisiana","LA",0
2023,"louisiana","LA",0
2024,"louisiana","LA",0
2025,"louisiana","LA",0
2026,"louisiana","LA",0
2027,"louisiana","LA",0
2028,"louisiana","LA",0
2029,"louisiana","LA",0
2030,"louisiana","LA",0
2031,"louisiana","LA",0
2032,"louisiana","LA",0
2033,"louisiana","LA",0
2034,"louisiana","LA",0
2035,"louisiana","LA",0
2036,"louisiana","LA",0
2037,"louisiana","LA",0
2038,"louisiana","LA",0
2039,"louisiana","LA",0
2040,"louisiana","LA",0
2041,"louisiana","LA",0
2042,"louisiana","LA",0
2043,"louisiana","LA",0
2044,"louisiana","LA",0
2045,"louisiana","LA",0
2046,"louisiana","LA",0
2047,"louisiana","LA",0
2048,"louisiana","LA",0
2049,"louisiana","LA",0
2050,"louisiana","LA",0
