iso_code3,Region,Year,frac_inen_energy_wood_solid_biomass
LA,louisiana,2000,0.5515446720491092
LA,louisiana,2001,0.5647411993714675
LA,louisiana,2002,0.5466575793718408
LA,louisiana,2003,0.575861041107769
LA,louisiana,2004,0.5955122527310304
LA,louisiana,2005,0.6069947433763901
LA,louisiana,2006,0.5686853074797433
LA,louisiana,2007,0.5515462588016816
LA,louisiana,2008,0.545426944971537
LA,louisiana,2009,0.553892380637336
LA,louisiana,2010,0.611217248908297
LA,louisiana,2011,0.5823302628093823
LA,louisiana,2012,0.5051495831289848
LA,louisiana,2013,0.5185160823521674
LA,louisiana,2014,0.5398264512268103
LA,louisiana,2015,0.5455255105227004
LA,louisiana,2016,0.6266909403524741
LA,louisiana,2017,0.6862166324435318
LA,louisiana,2018,0.6940626270841805
LA,louisiana,2019,0.6365713478117493
LA,louisiana,2020,0.6166480029861888
