,Region,iso_code3,Year,deminit_trde_private_and_public_per_capita_passenger_km
100,louisiana,LA,2010,17.498249938663612
101,louisiana,LA,2011,17.45037025211221
102,louisiana,LA,2012,17.40275187269044
103,louisiana,LA,2013,17.355392667063615
104,louisiana,LA,2014,17.308290525056332
105,louisiana,LA,2015,17.26144335933906
106,louisiana,LA,2016,17.214849105119796
107,louisiana,LA,2017,17.1685057198407
108,louisiana,LA,2018,10.769982641897933
109,louisiana,LA,2019,10.622445366595247
110,louisiana,LA,2020,10.546753557538926
