"Year","Region","iso_code3","cost_enfu_fuel_kerosene_usd_per_m3"
2024,"louisiana","LA",482.901577373799
2025,"louisiana","LA",510.650154781719
2026,"louisiana","LA",534.735008314219
2027,"louisiana","LA",545.37607424791
2028,"louisiana","LA",564.183007161678
2029,"louisiana","LA",573.495221003545
2030,"louisiana","LA",585.562593278107
2031,"louisiana","LA",598.116298735617
2032,"louisiana","LA",609.908575557788
2033,"louisiana","LA",617.964793479044
2034,"louisiana","LA",623.979683627471
2035,"louisiana","LA",629.302179576517
2036,"louisiana","LA",634.697323238489
2037,"louisiana","LA",645.638291160692
2038,"louisiana","LA",656.292628938639
2039,"louisiana","LA",657.871109828825
2040,"louisiana","LA",672.620054760867
2041,"louisiana","LA",681.921498257919
2042,"louisiana","LA",688.303379220139
2043,"louisiana","LA",701.734659321745
2044,"louisiana","LA",704.356300221788
2045,"louisiana","LA",704.97014039012
2046,"louisiana","LA",716.081939878301
2047,"louisiana","LA",721.910259860103
2048,"louisiana","LA",721.609663010634
2049,"louisiana","LA",725.497688002578
2050,"louisiana","LA",724.786393585199
