"Year","Region","iso_code3","cost_enfu_fuel_biomass_usd_per_tonne"
2024,"louisiana","LA",119.614457331337
2025,"louisiana","LA",119.614457331337
2026,"louisiana","LA",119.614457331337
2027,"louisiana","LA",119.614457331337
2028,"louisiana","LA",119.614457331337
2029,"louisiana","LA",119.614457331337
2030,"louisiana","LA",119.614457331337
2031,"louisiana","LA",119.614457331337
2032,"louisiana","LA",119.614457331337
2033,"louisiana","LA",119.614457331337
2034,"louisiana","LA",119.614457331337
2035,"louisiana","LA",119.614457331337
2036,"louisiana","LA",119.614457331337
2037,"louisiana","LA",119.614457331337
2038,"louisiana","LA",119.614457331337
2039,"louisiana","LA",119.614457331337
2040,"louisiana","LA",119.614457331337
2041,"louisiana","LA",119.614457331337
2042,"louisiana","LA",119.614457331337
2043,"louisiana","LA",119.614457331337
2044,"louisiana","LA",119.614457331337
2045,"louisiana","LA",119.614457331337
2046,"louisiana","LA",119.614457331337
2047,"louisiana","LA",119.614457331337
2048,"louisiana","LA",119.614457331337
2049,"louisiana","LA",119.614457331337
2050,"louisiana","LA",119.614457331337
