year,frac_trns_fuelmix_powered_bikes_electricity,frac_trns_fuelmix_powered_bikes_gasoline
2011,0.5350492568760321,0.46495074312396784
2012,0.5210782547489966,0.4789217452510034
2013,0.5441021632314466,0.4558978367685534
2014,0.5644968340203751,0.43550316597962496
2015,0.5888973931835576,0.4111026068164423
2016,0.5804069848871937,0.4195930151128063
2017,0.562162740065859,0.4378372599341412
2018,0.5561400140007173,0.4438599859992827
2019,0.5486490304820273,0.4513509695179727
2020,0.5649573333352708,0.4350426666647291
2021,0.5391544580658517,0.46084554193414834
2022,0.5499877694035387,0.4500122305964612
