"Year","Region","iso_code3","cost_enfu_fuel_natural_gas_usd_per_mmbtu"
2015,"louisiana","LA",11.220645
2016,"louisiana","LA",11.220645
2017,"louisiana","LA",11.220645
2018,"louisiana","LA",11.220645
2019,"louisiana","LA",11.220645
2020,"louisiana","LA",11.220645
2021,"louisiana","LA",11.220645
2022,"louisiana","LA",9.31503659162868
2023,"louisiana","LA",8.22079378144246
