iso_code3,Region,Year,frac_inen_energy_recycled_rubber_and_leather_furnace_gas
LA,louisiana,2000,0.0070438066881702
LA,louisiana,2001,0.0061985783847316
LA,louisiana,2002,0.0072100941317844
LA,louisiana,2003,0.0075686986088633
LA,louisiana,2004,0.0050023500973611
LA,louisiana,2005,0.005280450598451
LA,louisiana,2006,0.0127379045774516
LA,louisiana,2007,0.0128927089508002
LA,louisiana,2008,0.0149197565024903
LA,louisiana,2009,0.0157777190749501
LA,louisiana,2010,0.0157704684467808
LA,louisiana,2011,0.0153306110752919
LA,louisiana,2012,0.0147206111848694
LA,louisiana,2013,0.013026397408505
LA,louisiana,2014,0.0131008596682407
LA,louisiana,2015,0.0124235294117647
LA,louisiana,2016,0.0164646049522243
LA,louisiana,2017,0.0148064971013735
LA,louisiana,2018,0.0161147606917817
LA,louisiana,2019,0.015043996593812
LA,louisiana,2020,0.0164810054270208
