"Year","Region","iso_code3","cost_enfu_fuel_coal_usd_per_tonne"
2015,"louisiana","LA",107.244854413551
2016,"louisiana","LA",107.244854413551
2017,"louisiana","LA",107.244854413551
2018,"louisiana","LA",107.244854413551
2019,"louisiana","LA",107.244854413551
2020,"louisiana","LA",107.244854413551
2021,"louisiana","LA",100.024696157304
2022,"louisiana","LA",97.7795704548012
2023,"louisiana","LA",95.9534497528736
