iso_code3,Region,Year,frac_inen_energy_electronics_furnace_gas
LA,louisiana,2021,0.0043309712350529
LA,louisiana,2022,0.0046752818959742
LA,louisiana,2023,0.0051924263198822
LA,louisiana,2024,0.0055357602565991
LA,louisiana,2025,0.0056437230800195
LA,louisiana,2026,0.005688520043278
LA,louisiana,2027,0.0057430571239934
LA,louisiana,2028,0.0058499835665442
LA,louisiana,2029,0.0059899595380522
LA,louisiana,2030,0.0061471057410813
LA,louisiana,2031,0.0063085867360501
LA,louisiana,2032,0.0064755352365496
LA,louisiana,2033,0.0066509537451479
LA,louisiana,2034,0.0068388808728202
LA,louisiana,2035,0.0070411596968964
LA,louisiana,2036,0.0072592858927808
LA,louisiana,2037,0.0074945877978855
LA,louisiana,2038,0.007749076676198
LA,louisiana,2039,0.0080252569009109
LA,louisiana,2040,0.0083262044857521
LA,louisiana,2041,0.0086554903582148
LA,louisiana,2042,0.0090173476808504
LA,louisiana,2043,0.0092746814126231
LA,louisiana,2044,0.0092593127157687
LA,louisiana,2045,0.009243758693574
LA,louisiana,2046,0.0092280170881362
LA,louisiana,2047,0.0092120885919902
LA,louisiana,2048,0.0091959731476327
LA,louisiana,2049,0.0091796686775668
LA,louisiana,2050,0.0091631716898033
