"Year","Region","iso_code3","cost_enfu_fuel_crude_usd_per_m3"
2015,"louisiana","LA",285.477510891835
2016,"louisiana","LA",285.477510891835
2017,"louisiana","LA",285.477510891835
2018,"louisiana","LA",285.477510891835
2019,"louisiana","LA",285.477510891835
2020,"louisiana","LA",285.477510891835
2021,"louisiana","LA",312.851055154621
2022,"louisiana","LA",320.411306440041
2023,"louisiana","LA",326.678267211715
