"Year","Region","iso_code3","frac_lvst_mm_sheep_solid_storage"
2015,"louisiana","LA",0.54
2016,"louisiana","LA",0.54
2017,"louisiana","LA",0.54
2018,"louisiana","LA",0.54
2019,"louisiana","LA",0.54
2020,"louisiana","LA",0.54
