iso_code3,Region,Year,frac_inen_energy_chemicals_coke
LA,louisiana,2000,0.0084650018246195
LA,louisiana,2001,0.0079920537497349
LA,louisiana,2002,0.0083160372649267
LA,louisiana,2003,0.0091034583582849
LA,louisiana,2004,0.0086963861659144
LA,louisiana,2005,0.0087721052567785
LA,louisiana,2006,0.0060715917296667
LA,louisiana,2007,0.00596297778153
LA,louisiana,2008,0.0057751036137569
LA,louisiana,2009,0.0054333089570511
LA,louisiana,2010,0.0069933501059598
LA,louisiana,2011,0.0072394902478825
LA,louisiana,2012,0.004719891260998
LA,louisiana,2013,0.0047940516250565
LA,louisiana,2014,0.0051893709794106
LA,louisiana,2015,0.0041767925839307
LA,louisiana,2016,0.0024136980526324
LA,louisiana,2017,0.0018267929634641
LA,louisiana,2018,0.0015218306893162
LA,louisiana,2019,0.0015758202014983
LA,louisiana,2020,0.0014861871293788
