Year,iso_code3,pop_lvst_initial_goats
2023,LA,18057
2024,LA,18057
2025,LA,18057
2026,LA,18057
2027,LA,18057
2028,LA,18057
2029,LA,18057
2030,LA,18057
2031,LA,18057
2032,LA,18057
2033,LA,18057
2034,LA,18057
2035,LA,18057
2036,LA,18057
2037,LA,18057
2038,LA,18057
2039,LA,18057
2040,LA,18057
2041,LA,18057
2042,LA,18057
2043,LA,18057
2044,LA,18057
2045,LA,18057
2046,LA,18057
2047,LA,18057
2048,LA,18057
2049,LA,18057
2050,LA,18057
