"iso_code3","Region","Year","population_gnrl_rural"
"LA","louisiana",1910,1242291
"LA","louisiana",1911,1244897.782518
"LA","louisiana",1912,1247367.560392
"LA","louisiana",1913,1249700.333622
"LA","louisiana",1914,1251896.102208
"LA","louisiana",1915,1253954.86615
"LA","louisiana",1916,1255876.625448
"LA","louisiana",1917,1257661.380102
"LA","louisiana",1918,1259309.130112
"LA","louisiana",1919,1260819.875478
"LA","louisiana",1920,1262193.6162
"LA","louisiana",1921,1274649.151452
"LA","louisiana",1922,1286812.513728
"LA","louisiana",1923,1298683.703028
"LA","louisiana",1924,1310262.719352
"LA","louisiana",1925,1321549.5627
"LA","louisiana",1926,1332544.233072
"LA","louisiana",1927,1343246.730468
"LA","louisiana",1928,1353657.054888
"LA","louisiana",1929,1363775.206332
"LA","louisiana",1930,1373601.1848
"LA","louisiana",1931,1380488.162526
"LA","louisiana",1932,1387122.295584
"LA","louisiana",1933,1393503.583974
"LA","louisiana",1934,1399632.027696
"LA","louisiana",1935,1405507.62675
"LA","louisiana",1936,1411130.381136
"LA","louisiana",1937,1416500.290854
"LA","louisiana",1938,1421617.355904
"LA","louisiana",1939,1426481.576286
"LA","louisiana",1940,1431092.952
"LA","louisiana",1941,1438895.749288
"LA","louisiana",1942,1446390.417472
"LA","louisiana",1943,1453576.956552
"LA","louisiana",1944,1460455.366528
"LA","louisiana",1945,1467025.6474
"LA","louisiana",1946,1473287.799168
"LA","louisiana",1947,1479241.821832
"LA","louisiana",1948,1484887.715392
"LA","louisiana",1949,1490225.479848
"LA","louisiana",1950,1495255.1152
"LA","louisiana",1951,1513999.892508
"LA","louisiana",1952,1532191.810032
"LA","louisiana",1953,1549830.867772
"LA","louisiana",1954,1566917.065728
"LA","louisiana",1955,1583450.4039
"LA","louisiana",1956,1599430.882288
"LA","louisiana",1957,1614858.500892
"LA","louisiana",1958,1629733.259712
"LA","louisiana",1959,1644055.158748
"LA","louisiana",1960,1657824.198
"LA","louisiana",1961,1661500.182672
"LA","louisiana",1962,1664805.717568
"LA","louisiana",1963,1667740.802688
"LA","louisiana",1964,1670305.438032
"LA","louisiana",1965,1672499.6236
"LA","louisiana",1966,1674323.359392
"LA","louisiana",1967,1675776.645408
"LA","louisiana",1968,1676859.481648
"LA","louisiana",1969,1677571.868112
"LA","louisiana",1970,1677913.8048
"LA","louisiana",1971,1686107.067092
"LA","louisiana",1972,1693756.060768
"LA","louisiana",1973,1700860.785828
"LA","louisiana",1974,1707421.242272
"LA","louisiana",1975,1713437.4301
"LA","louisiana",1976,1718909.349312
"LA","louisiana",1977,1723836.999908
"LA","louisiana",1978,1728220.381888
"LA","louisiana",1979,1732059.495252
"LA","louisiana",1980,1735354.34
"LA","louisiana",1981,1715655.770794
"LA","louisiana",1982,1695943.635216
"LA","louisiana",1983,1676217.933266
"LA","louisiana",1984,1656478.664944
"LA","louisiana",1985,1636725.83025
"LA","louisiana",1986,1616959.429184
"LA","louisiana",1987,1597179.461746
"LA","louisiana",1988,1577385.927936
"LA","louisiana",1989,1557578.827754
"LA","louisiana",1990,1537758.1612
"LA","louisiana",1991,1526371.541214
"LA","louisiana",1992,1514744.882336
"LA","louisiana",1993,1502878.184566
"LA","louisiana",1994,1490771.447904
"LA","louisiana",1995,1478424.67235
"LA","louisiana",1996,1465837.857904
"LA","louisiana",1997,1453011.004566
"LA","louisiana",1998,1439944.112336
"LA","louisiana",1999,1426637.181214
"LA","louisiana",2000,1413090.2112
"LA","louisiana",2001,1393554.909528
"LA","louisiana",2002,1373957.530112
"LA","louisiana",2003,1354298.072952
"LA","louisiana",2004,1334576.538048
"LA","louisiana",2005,1314792.9254
"LA","louisiana",2006,1294947.235008
"LA","louisiana",2007,1275039.466872
"LA","louisiana",2008,1255069.620992
"LA","louisiana",2009,1235037.697368
"LA","louisiana",2010,1214943.696
"LA","louisiana",2011,1226005.09185
"LA","louisiana",2012,1237108.7786
"LA","louisiana",2013,1248254.75625
"LA","louisiana",2014,1259443.0248
"LA","louisiana",2015,1270673.58425
"LA","louisiana",2016,1281946.4346
"LA","louisiana",2017,1293261.57585
"LA","louisiana",2018,1304619.008
"LA","louisiana",2019,1330724.4091
"LA","louisiana",2020,1348317.33
