Year,frac_scoe_heat_energy_other_se_kerosene,Iso_code3,Region
2015,0.0764492367035051,LA,louisiana
2016,0.07426790949487,LA,louisiana
2017,0.071547718215434,LA,louisiana
2018,0.0701210160791058,LA,louisiana
2019,0.0701913332137545,LA,louisiana
2020,0.0737400278759217,LA,louisiana
2021,0.0752921745932057,LA,louisiana
