iso_code3,Region,Year,frac_inen_energy_recycled_paper_electricity
LA,louisiana,2021,0.1356914583804087
LA,louisiana,2022,0.1527967174245827
LA,louisiana,2023,0.1586965756231937
LA,louisiana,2024,0.1579106304265956
LA,louisiana,2025,0.1555019035373187
LA,louisiana,2026,0.1535376043467338
LA,louisiana,2027,0.1528716221977805
LA,louisiana,2028,0.1534673640012115
LA,louisiana,2029,0.1548126535011368
LA,louisiana,2030,0.1563110274770572
LA,louisiana,2031,0.1575858649833008
LA,louisiana,2032,0.1585494698657508
LA,louisiana,2033,0.1593080526113968
LA,louisiana,2034,0.1600209104013339
LA,louisiana,2035,0.160802850798975
LA,louisiana,2036,0.16169390762074
LA,louisiana,2037,0.1626775400443683
LA,louisiana,2038,0.1637156020700667
LA,louisiana,2039,0.1647763044398739
LA,louisiana,2040,0.1658459671565316
LA,louisiana,2041,0.1669270289743716
LA,louisiana,2042,0.1680297781830049
LA,louisiana,2043,0.1691645348794411
LA,louisiana,2044,0.1703375950495886
LA,louisiana,2045,0.1715509677975138
LA,louisiana,2046,0.1728042135577974
LA,louisiana,2047,0.1740965547044746
LA,louisiana,2048,0.1754281813288639
LA,louisiana,2049,0.1767623497661098
LA,louisiana,2050,0.1732979018070647
