,Unnamed: 0,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_recycled_glass
0,0,LA,Louisiana,2010,0.0154648045471339
1,1,LA,Louisiana,2011,0.0162202984114899
2,2,LA,Louisiana,2012,0.0172753181716029
3,3,LA,Louisiana,2013,0.0172105346509753
4,4,LA,Louisiana,2014,0.0167204939588933
5,5,LA,Louisiana,2015,0.0134088193286214
6,6,LA,Louisiana,2016,0.0127488044765991
7,7,LA,Louisiana,2017,0.0114529853023101
8,8,LA,Louisiana,2018,0.0137309966466621
9,9,LA,Louisiana,2019,0.0143659960443459
10,10,LA,Louisiana,2020,0.0131568451250681
