iso_code3,Region,Year,frac_inen_energy_rubber_and_leather_natural_gas
LA,louisiana,2021,0.4121909173425236
LA,louisiana,2022,0.4201462030454403
LA,louisiana,2023,0.424490770538095
LA,louisiana,2024,0.4302906225462723
LA,louisiana,2025,0.4353155317406396
LA,louisiana,2026,0.4413023909356013
LA,louisiana,2027,0.4478115912758203
LA,louisiana,2028,0.4552033048310931
LA,louisiana,2029,0.4631227154777137
LA,louisiana,2030,0.4714840704814248
LA,louisiana,2031,0.4801013764527202
LA,louisiana,2032,0.4889678068519424
LA,louisiana,2033,0.4981027203303428
LA,louisiana,2034,0.5075834481082697
LA,louisiana,2035,0.5174708074264279
LA,louisiana,2036,0.5278120996016655
LA,louisiana,2037,0.5386296756887011
LA,louisiana,2038,0.5499374222423067
LA,louisiana,2039,0.5617496326215589
LA,louisiana,2040,0.5740907818129408
LA,louisiana,2041,0.585388612582365
LA,louisiana,2042,0.5924440428446143
LA,louisiana,2043,0.5996797525318932
LA,louisiana,2044,0.6071041915773464
LA,louisiana,2045,0.6147270387989485
LA,louisiana,2046,0.6225579245328142
LA,louisiana,2047,0.6306059249130843
LA,louisiana,2048,0.6388797392346929
LA,louisiana,2049,0.647388172387352
LA,louisiana,2050,0.6561406046915875
