iso_code3,Region,Year,frac_inen_energy_electronics_coke
LA,louisiana,2000,0.0004497855097734
LA,louisiana,2001,0.000893341682321
LA,louisiana,2002,0.0002296277491864
LA,louisiana,2003,0.000561112755253
LA,louisiana,2004,0.0003712871287128
LA,louisiana,2005,0.0003535755325731
LA,louisiana,2006,0.000540516293987
LA,louisiana,2007,0.0006950031286314
LA,louisiana,2008,0.0006272214091574
LA,louisiana,2009,0.0004955880575365
LA,louisiana,2010,0.0003853302506913
LA,louisiana,2011,0.0003835770528683
LA,louisiana,2012,0.000476461535218
LA,louisiana,2013,0.000567679150693
LA,louisiana,2014,7.492340419838649e-05
LA,louisiana,2015,7.68245838668374e-05
LA,louisiana,2016,1.4465918296493462e-05
LA,louisiana,2017,1.4135674200981018e-05
LA,louisiana,2018,1.3923116550408646e-05
LA,louisiana,2019,2.521632956415566e-05
LA,louisiana,2020,2.455460671704908e-05
