iso_code3,Region,Year,frac_inen_energy_recycled_paper_solid_biomass
LA,louisiana,2021,0.5170667061314177
LA,louisiana,2022,0.5061351101069945
LA,louisiana,2023,0.4980698443865251
LA,louisiana,2024,0.4902524483639886
LA,louisiana,2025,0.4793800583043621
LA,louisiana,2026,0.4659324136842371
LA,louisiana,2027,0.4508407187283355
LA,louisiana,2028,0.4349693027872552
LA,louisiana,2029,0.4188500195042043
LA,louisiana,2030,0.4026910220945377
LA,louisiana,2031,0.3864325820340603
LA,louisiana,2032,0.369888506121742
LA,louisiana,2033,0.3528774395739916
LA,louisiana,2034,0.3352948879498424
LA,louisiana,2035,0.3171174581295666
LA,louisiana,2036,0.2983691838940197
LA,louisiana,2037,0.2790823714015408
LA,louisiana,2038,0.2592725530111777
LA,louisiana,2039,0.2389316273919454
LA,louisiana,2040,0.2180336307688201
LA,louisiana,2041,0.1965447976671124
LA,louisiana,2042,0.174431610240329
LA,louisiana,2043,0.1516642983239425
LA,louisiana,2044,0.1282163608004216
LA,louisiana,2045,0.1040621080950297
LA,louisiana,2046,0.0791741428424598
LA,louisiana,2047,0.0535218345903344
LA,louisiana,2048,0.027070929482705
LA,louisiana,2049,0.0
LA,louisiana,2050,0.0
