"iso_code3","frac_waso_initial_composition_mun_plastic","Year"
"LA",0.129,2021
"LA",0.129,2022
"LA",0.129,2023
"LA",0.129,2024
"LA",0.129,2025
"LA",0.129,2026
"LA",0.129,2027
"LA",0.129,2028
"LA",0.129,2029
"LA",0.129,2030
"LA",0.129,2031
"LA",0.129,2032
"LA",0.129,2033
"LA",0.129,2034
"LA",0.129,2035
"LA",0.129,2036
"LA",0.129,2037
"LA",0.129,2038
"LA",0.129,2039
"LA",0.129,2040
"LA",0.129,2041
"LA",0.129,2042
"LA",0.129,2043
"LA",0.129,2044
"LA",0.129,2045
"LA",0.129,2046
"LA",0.129,2047
"LA",0.129,2048
"LA",0.129,2049
"LA",0.129,2050
