"Year","Region","iso_code3","frac_inen_energy_agriculture_and_livestock_coal"
2000,"louisiana","LA",0.0100592087107052
2001,"louisiana","LA",0.0100583339992465
2002,"louisiana","LA",0.0108873062228019
2003,"louisiana","LA",0.0172221804228425
2004,"louisiana","LA",0.0235128268350468
2005,"louisiana","LA",0.0174716781822297
2006,"louisiana","LA",0.0008982224650165
2007,"louisiana","LA",0.002051034498243
2008,"louisiana","LA",0
2009,"louisiana","LA",0
2010,"louisiana","LA",0
2011,"louisiana","LA",0
2012,"louisiana","LA",0
2013,"louisiana","LA",0
2014,"louisiana","LA",0
2015,"louisiana","LA",0
2016,"louisiana","LA",0
2017,"louisiana","LA",0
2018,"louisiana","LA",0
2019,"louisiana","LA",0
2020,"louisiana","LA",0
