iso_code3,Region,Year,frac_inen_energy_paper_hydrogen
LA,louisiana,2021,1.7716327367299052e-05
LA,louisiana,2022,3.3636179687082035e-05
LA,louisiana,2023,4.213239820118981e-05
LA,louisiana,2024,4.990955909727289e-05
LA,louisiana,2025,6.136739050046607e-05
LA,louisiana,2026,7.55863223252012e-05
LA,louisiana,2027,9.064177901510035e-05
LA,louisiana,2028,0.0001055019108796
LA,louisiana,2029,0.000120126704074
LA,louisiana,2030,0.0001349036015377
LA,louisiana,2031,0.0001502336695659
LA,louisiana,2032,0.0001663436258922
LA,louisiana,2033,0.0001832742543993
LA,louisiana,2034,0.00020095376866
LA,louisiana,2035,0.0002192847472975
LA,louisiana,2036,0.000238200448472
LA,louisiana,2037,0.0002576812028278
LA,louisiana,2038,0.0002777433860177
LA,louisiana,2039,0.0002984193875524
LA,louisiana,2040,0.000319741750044
LA,louisiana,2041,0.0003417362636065
LA,louisiana,2042,0.0003644225001306
LA,louisiana,2043,0.0003878178047261
LA,louisiana,2044,0.0004119412787479
LA,louisiana,2045,0.0004368160548591
LA,louisiana,2046,0.0004624697709477
LA,louisiana,2047,0.000488933979036
LA,louisiana,2048,0.0005162433159926
LA,louisiana,2049,0.0005443173160874
LA,louisiana,2050,0.0005577205649868
