Year,iso_code3,pop_lvst_initial_chickens
2015,LA,30969685
2016,LA,30969685
2017,LA,30969685
2018,LA,30984631
2019,LA,30999578
2020,LA,31014525
2021,LA,31029472
2022,LA,31044419
