"iso_code3","frac_waso_msw_incinerated_recovered_for_energy","Year"
"LA",0.0629851365805418,2021
"LA",0.0629851365805418,2022
"LA",0.0629851365805418,2023
"LA",0.0629851365805418,2024
"LA",0.0629851365805418,2025
"LA",0.0629851365805418,2026
"LA",0.0629851365805418,2027
"LA",0.0629851365805418,2028
"LA",0.0629851365805418,2029
"LA",0.0629851365805418,2030
"LA",0.0629851365805418,2031
"LA",0.0629851365805418,2032
"LA",0.0629851365805418,2033
"LA",0.0629851365805418,2034
"LA",0.0629851365805418,2035
"LA",0.0629851365805418,2036
"LA",0.0629851365805418,2037
"LA",0.0629851365805418,2038
"LA",0.0629851365805418,2039
"LA",0.0629851365805418,2040
"LA",0.0629851365805418,2041
"LA",0.0629851365805418,2042
"LA",0.0629851365805418,2043
"LA",0.0629851365805418,2044
"LA",0.0629851365805418,2045
"LA",0.0629851365805418,2046
"LA",0.0629851365805418,2047
"LA",0.0629851365805418,2048
"LA",0.0629851365805418,2049
"LA",0.0629851365805418,2050
