Year,prodinit_ippu_electronics_tonne,Iso_code3,Region
2015,62169.9327107376,LA,louisiana
2016,65207.7841252482,LA,louisiana
2017,66250.9935069864,LA,louisiana
2018,66624.6030897948,LA,louisiana
2019,69589.75262772359,LA,louisiana
2020,74062.49422616219,LA,louisiana
