iso_code3,Region,Year,frac_inen_energy_plastic_electricity
LA,louisiana,2021,0.5745001850954269
LA,louisiana,2022,0.5741567855756695
LA,louisiana,2023,0.571381642563812
LA,louisiana,2024,0.5680059982649814
LA,louisiana,2025,0.5646288627447509
LA,louisiana,2026,0.5613117453236978
LA,louisiana,2027,0.5579306150360903
LA,louisiana,2028,0.554362447515704
LA,louisiana,2029,0.5505493827417157
LA,louisiana,2030,0.546493587824983
LA,louisiana,2031,0.5422278649539374
LA,louisiana,2032,0.5377886796394291
LA,louisiana,2033,0.533201159140661
LA,louisiana,2034,0.5284753330680948
LA,louisiana,2035,0.5236090499008982
LA,louisiana,2036,0.5185930701339403
LA,louisiana,2037,0.5134154826511834
LA,louisiana,2038,0.5080643430172328
LA,louisiana,2039,0.5025286208730279
LA,louisiana,2040,0.4967980610901574
LA,louisiana,2041,0.4899772220687979
LA,louisiana,2042,0.4829096482124261
LA,louisiana,2043,0.4756103435439224
LA,louisiana,2044,0.4680678819517553
LA,louisiana,2045,0.4602699394971131
LA,louisiana,2046,0.4522032754790094
LA,louisiana,2047,0.4438536996739732
LA,louisiana,2048,0.4352060155972372
LA,louisiana,2049,0.4262439394507901
LA,louisiana,2050,0.4169499985472653
