Year,frac_trns_fuelmix_road_light_diesel
2008,0.02373863705692148
2009,0.02381720266528737
2010,0.024878352626288167
2011,0.02468642848541314
2012,0.02667720258347646
2013,0.02665503729987247
2014,0.027289187790998447
2015,0.027332250867952424
2016,0.02864566501635233
2017,0.0291327470632048
2018,0.029323754284207748
2019,0.03008180662924918
