"Year","Region","iso_code3","cost_enfu_fuel_coke_usd_per_tonne"
2015,"louisiana","LA",112.854704301706
2016,"louisiana","LA",112.854704301706
2017,"louisiana","LA",112.854704301706
2018,"louisiana","LA",112.854704301706
2019,"louisiana","LA",112.854704301706
2020,"louisiana","LA",112.854704301706
2021,"louisiana","LA",105.256868214594
2022,"louisiana","LA",102.894302675561
2023,"louisiana","LA",100.972659786844
