"Year","Region","iso_code3","frac_lvst_mm_horses_daily_spread"
2021,"louisiana","LA",0.11
2022,"louisiana","LA",0.11
2023,"louisiana","LA",0.11
2024,"louisiana","LA",0.11
2025,"louisiana","LA",0.11
2026,"louisiana","LA",0.11
2027,"louisiana","LA",0.11
2028,"louisiana","LA",0.11
2029,"louisiana","LA",0.11
2030,"louisiana","LA",0.11
2031,"louisiana","LA",0.11
2032,"louisiana","LA",0.11
2033,"louisiana","LA",0.11
2034,"louisiana","LA",0.11
2035,"louisiana","LA",0.11
2036,"louisiana","LA",0.11
2037,"louisiana","LA",0.11
2038,"louisiana","LA",0.11
2039,"louisiana","LA",0.11
2040,"louisiana","LA",0.11
2041,"louisiana","LA",0.11
2042,"louisiana","LA",0.11
2043,"louisiana","LA",0.11
2044,"louisiana","LA",0.11
2045,"louisiana","LA",0.11
2046,"louisiana","LA",0.11
2047,"louisiana","LA",0.11
2048,"louisiana","LA",0.11
2049,"louisiana","LA",0.11
2050,"louisiana","LA",0.11
