"iso_code3","frac_waso_initial_composition_mun_rubber_leather","Year"
"LA",0.095,2021
"LA",0.095,2022
"LA",0.095,2023
"LA",0.095,2024
"LA",0.095,2025
"LA",0.095,2026
"LA",0.095,2027
"LA",0.095,2028
"LA",0.095,2029
"LA",0.095,2030
"LA",0.095,2031
"LA",0.095,2032
"LA",0.095,2033
"LA",0.095,2034
"LA",0.095,2035
"LA",0.095,2036
"LA",0.095,2037
"LA",0.095,2038
"LA",0.095,2039
"LA",0.095,2040
"LA",0.095,2041
"LA",0.095,2042
"LA",0.095,2043
"LA",0.095,2044
"LA",0.095,2045
"LA",0.095,2046
"LA",0.095,2047
"LA",0.095,2048
"LA",0.095,2049
"LA",0.095,2050
