,iso_code3,Region,Year,frac_trns_pkm_dem_private_and_public_human_powered
0,LA,louisiana,2022,0.010855155380867522
1,LA,louisiana,2023,0.010855155380867522
2,LA,louisiana,2024,0.010855155380867522
3,LA,louisiana,2025,0.010855155380867522
4,LA,louisiana,2026,0.010855155380867522
5,LA,louisiana,2027,0.010855155380867522
6,LA,louisiana,2028,0.010855155380867522
7,LA,louisiana,2029,0.010855155380867522
8,LA,louisiana,2030,0.010855155380867522
9,LA,louisiana,2031,0.010855155380867522
10,LA,louisiana,2032,0.010855155380867522
11,LA,louisiana,2033,0.010855155380867522
12,LA,louisiana,2034,0.010855155380867522
13,LA,louisiana,2035,0.010855155380867522
14,LA,louisiana,2036,0.010855155380867522
15,LA,louisiana,2037,0.010855155380867522
16,LA,louisiana,2038,0.010855155380867522
17,LA,louisiana,2039,0.010855155380867522
18,LA,louisiana,2040,0.010855155380867522
19,LA,louisiana,2041,0.010855155380867522
20,LA,louisiana,2042,0.010855155380867522
21,LA,louisiana,2043,0.010855155380867522
22,LA,louisiana,2044,0.010855155380867522
23,LA,louisiana,2045,0.010855155380867522
24,LA,louisiana,2046,0.010855155380867522
25,LA,louisiana,2047,0.010855155380867522
26,LA,louisiana,2048,0.010855155380867522
27,LA,louisiana,2049,0.010855155380867522
28,LA,louisiana,2050,0.010855155380867522
