iso_code3,Region,Year,frac_inen_energy_recycled_rubber_and_leather_coke
LA,louisiana,2000,0.00513053786563
LA,louisiana,2001,0.0056934572116191
LA,louisiana,2002,0.0080497311620884
LA,louisiana,2003,0.0071763686593758
LA,louisiana,2004,0.0041160276640032
LA,louisiana,2005,0.0053005666007308
LA,louisiana,2006,0.0082330813065663
LA,louisiana,2007,0.0081172199170124
LA,louisiana,2008,0.0076923076923076
LA,louisiana,2009,0.0053384885089214
LA,louisiana,2010,0.0049350266525829
LA,louisiana,2011,0.0024118251068605
LA,louisiana,2012,0.0015722171755991
LA,louisiana,2013,0.001879293312197
LA,louisiana,2014,0.0023416878556725
LA,louisiana,2015,0.0017694117647058
LA,louisiana,2016,0.0016721463063803
LA,louisiana,2017,0.0017026165979004
LA,louisiana,2018,0.0015095857353532
LA,louisiana,2019,0.000998632363946
LA,louisiana,2020,0.0008797486432447
