,Year,iso_code3,Region,frac_trns_mtkm_dem_freight_water_borne
0,2021,LA,louisiana,0.021355999650033715
1,2022,LA,louisiana,0.021355999650033715
2,2023,LA,louisiana,0.021355999650033715
3,2024,LA,louisiana,0.021355999650033715
4,2025,LA,louisiana,0.021355999650033715
5,2026,LA,louisiana,0.021355999650033715
6,2027,LA,louisiana,0.021355999650033715
7,2028,LA,louisiana,0.021355999650033715
8,2029,LA,louisiana,0.021355999650033715
9,2030,LA,louisiana,0.021355999650033715
10,2031,LA,louisiana,0.021355999650033715
11,2032,LA,louisiana,0.021355999650033715
12,2033,LA,louisiana,0.021355999650033715
13,2034,LA,louisiana,0.021355999650033715
14,2035,LA,louisiana,0.021355999650033715
15,2036,LA,louisiana,0.021355999650033715
16,2037,LA,louisiana,0.021355999650033715
17,2038,LA,louisiana,0.021355999650033715
18,2039,LA,louisiana,0.021355999650033715
19,2040,LA,louisiana,0.021355999650033715
20,2041,LA,louisiana,0.021355999650033715
21,2042,LA,louisiana,0.021355999650033715
22,2043,LA,louisiana,0.021355999650033715
23,2044,LA,louisiana,0.021355999650033715
24,2045,LA,louisiana,0.021355999650033715
25,2046,LA,louisiana,0.021355999650033715
26,2047,LA,louisiana,0.021355999650033715
27,2048,LA,louisiana,0.021355999650033715
28,2049,LA,louisiana,0.021355999650033715
29,2050,LA,louisiana,0.021355999650033715
