iso_code3,Region,Year,nemomod_entc_frac_min_share_production_pp_gas
LA,louisiana,2025,0.32319042167715945
LA,louisiana,2026,0.32319042167715945
LA,louisiana,2027,0.32319042167715945
LA,louisiana,2028,0.32319042167715945
LA,louisiana,2029,0.32319042167715945
LA,louisiana,2030,0.32319042167715945
LA,louisiana,2031,0.32319042167715945
LA,louisiana,2032,0.32319042167715945
LA,louisiana,2033,0.32319042167715945
LA,louisiana,2034,0.32319042167715945
LA,louisiana,2035,0.32319042167715945
LA,louisiana,2036,0.32319042167715945
LA,louisiana,2037,0.32319042167715945
LA,louisiana,2038,0.32319042167715945
LA,louisiana,2039,0.32319042167715945
LA,louisiana,2040,0.32319042167715945
LA,louisiana,2041,0.32319042167715945
LA,louisiana,2042,0.32319042167715945
LA,louisiana,2043,0.32319042167715945
LA,louisiana,2044,0.32319042167715945
LA,louisiana,2045,0.32319042167715945
LA,louisiana,2046,0.32319042167715945
LA,louisiana,2047,0.32319042167715945
LA,louisiana,2048,0.32319042167715945
LA,louisiana,2049,0.32319042167715945
LA,louisiana,2050,0.32319042167715945
