,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_electronics
0,LA,Louisiana,2021,0.0029693166871811367
1,LA,Louisiana,2022,0.0029693166871811367
2,LA,Louisiana,2023,0.0029693166871811367
3,LA,Louisiana,2024,0.0029693166871811367
4,LA,Louisiana,2025,0.0029693166871811367
5,LA,Louisiana,2026,0.0029693166871811367
6,LA,Louisiana,2027,0.0029693166871811367
7,LA,Louisiana,2028,0.0029693166871811367
8,LA,Louisiana,2029,0.0029693166871811367
9,LA,Louisiana,2030,0.0029693166871811367
10,LA,Louisiana,2031,0.0029693166871811367
11,LA,Louisiana,2032,0.0029693166871811367
12,LA,Louisiana,2033,0.0029693166871811367
13,LA,Louisiana,2034,0.0029693166871811367
14,LA,Louisiana,2035,0.0029693166871811367
15,LA,Louisiana,2036,0.0029693166871811367
16,LA,Louisiana,2037,0.0029693166871811367
17,LA,Louisiana,2038,0.0029693166871811367
18,LA,Louisiana,2039,0.0029693166871811367
19,LA,Louisiana,2040,0.0029693166871811367
20,LA,Louisiana,2041,0.0029693166871811367
21,LA,Louisiana,2042,0.0029693166871811367
22,LA,Louisiana,2043,0.0029693166871811367
23,LA,Louisiana,2044,0.0029693166871811367
24,LA,Louisiana,2045,0.0029693166871811367
25,LA,Louisiana,2046,0.0029693166871811367
26,LA,Louisiana,2047,0.0029693166871811367
27,LA,Louisiana,2048,0.0029693166871811367
28,LA,Louisiana,2049,0.0029693166871811367
29,LA,Louisiana,2050,0.0029693166871811367
