iso_code3,Region,Year,frac_inen_energy_recycled_textiles_coke
LA,louisiana,2000,0.0062913467414118
LA,louisiana,2001,0.0059364855328158
LA,louisiana,2002,0.0090632725329057
LA,louisiana,2003,0.00817980576978
LA,louisiana,2004,0.0031376891842008
LA,louisiana,2005,0.0073178294573643
LA,louisiana,2006,0.0155798706476477
LA,louisiana,2007,0.0170719428082364
LA,louisiana,2008,0.0157572515454113
LA,louisiana,2009,0.0109376238408496
LA,louisiana,2010,0.0083947428397781
LA,louisiana,2011,0.0073837590045841
LA,louisiana,2012,0.0050581294464688
LA,louisiana,2013,0.0062339000515198
LA,louisiana,2014,0.0076890363187888
LA,louisiana,2015,0.005729618814616
LA,louisiana,2016,0.0051271796512557
LA,louisiana,2017,0.0058115325427717
LA,louisiana,2018,0.0049416792805627
LA,louisiana,2019,0.0032230559345156
LA,louisiana,2020,0.0032544058817169
