iso_code3,Region,Year,frac_trns_fuelmix_rail_passenger_electricity
LA,louisiana,2008,0.7780195865070728
LA,louisiana,2009,0.7686567164179104
LA,louisiana,2010,0.7664155005382132
LA,louisiana,2011,0.7671957671957672
LA,louisiana,2012,0.767590618336887
LA,louisiana,2013,0.7661795407098121
LA,louisiana,2014,0.7685088633993743
LA,louisiana,2015,0.5172413793103449
LA,louisiana,2016,0.5152173913043478
LA,louisiana,2017,0.5086206896551724
LA,louisiana,2018,0.5160599571734475
LA,louisiana,2019,0.5222929936305732
