,iso_code3,Region,Year,frac_trns_pkm_dem_regional_road_light
0,LA,louisiana,2022,0.7202736140383397
1,LA,louisiana,2023,0.7202736140383397
2,LA,louisiana,2024,0.7202736140383397
3,LA,louisiana,2025,0.7202736140383397
4,LA,louisiana,2026,0.7202736140383397
5,LA,louisiana,2027,0.7202736140383397
6,LA,louisiana,2028,0.7202736140383397
7,LA,louisiana,2029,0.7202736140383397
8,LA,louisiana,2030,0.7202736140383397
9,LA,louisiana,2031,0.7202736140383397
10,LA,louisiana,2032,0.7202736140383397
11,LA,louisiana,2033,0.7202736140383397
12,LA,louisiana,2034,0.7202736140383397
13,LA,louisiana,2035,0.7202736140383397
14,LA,louisiana,2036,0.7202736140383397
15,LA,louisiana,2037,0.7202736140383397
16,LA,louisiana,2038,0.7202736140383397
17,LA,louisiana,2039,0.7202736140383397
18,LA,louisiana,2040,0.7202736140383397
19,LA,louisiana,2041,0.7202736140383397
20,LA,louisiana,2042,0.7202736140383397
21,LA,louisiana,2043,0.7202736140383397
22,LA,louisiana,2044,0.7202736140383397
23,LA,louisiana,2045,0.7202736140383397
24,LA,louisiana,2046,0.7202736140383397
25,LA,louisiana,2047,0.7202736140383397
26,LA,louisiana,2048,0.7202736140383397
27,LA,louisiana,2049,0.7202736140383397
28,LA,louisiana,2050,0.7202736140383397
