"Year","Region","iso_code3","frac_agrc_initial_area_cropland_herbs_and_other_perennial_crops"
2008,"louisiana","LA",0.041009653
2009,"louisiana","LA",0.025382797
2010,"louisiana","LA",3.88564e-05
2011,"louisiana","LA",1.6682e-05
2012,"louisiana","LA",1.86459e-05
2013,"louisiana","LA",6.88506e-05
2014,"louisiana","LA",0.033254587
2015,"louisiana","LA",0.035202291
2016,"louisiana","LA",0.046539467
2017,"louisiana","LA",0.079210884
2018,"louisiana","LA",0.055715995
2019,"louisiana","LA",0.062461692
2020,"louisiana","LA",0.057940488
2021,"louisiana","LA",0.047565488
2022,"louisiana","LA",0.04018861
2023,"louisiana","LA",0.041414149
