Year,frac_trns_fuelmix_road_heavy_freight_diesel
2008,0.8961507059362367
2009,0.8961623798175692
2010,0.8961615373359997
2011,0.8961675118148263
2012,0.896164834213488
2013,0.8961646240588811
2014,0.8961571675302245
2015,0.8961661875793836
2016,0.8961609846634756
2017,0.8961613077632542
2018,0.8961585106550535
2019,0.8961696131181142
