"Year","Region","iso_code3","exports_agrc_fruits_tonne"
2024,"louisiana","LA",24
2025,"louisiana","LA",24
2026,"louisiana","LA",24
2027,"louisiana","LA",24
2028,"louisiana","LA",24
2029,"louisiana","LA",24
2030,"louisiana","LA",24
2031,"louisiana","LA",24
2032,"louisiana","LA",24
2033,"louisiana","LA",24
2034,"louisiana","LA",24
2035,"louisiana","LA",24
2036,"louisiana","LA",24
2037,"louisiana","LA",24
2038,"louisiana","LA",24
2039,"louisiana","LA",24
2040,"louisiana","LA",24
2041,"louisiana","LA",24
2042,"louisiana","LA",24
2043,"louisiana","LA",24
2044,"louisiana","LA",24
2045,"louisiana","LA",24
2046,"louisiana","LA",24
2047,"louisiana","LA",24
2048,"louisiana","LA",24
2049,"louisiana","LA",24
2050,"louisiana","LA",24
