"iso_code3","frac_waso_initial_composition_mun_wood","Year"
"LA",0.062,2010
"LA",0.062,2011
"LA",0.062,2012
"LA",0.062,2013
"LA",0.062,2014
"LA",0.062,2015
"LA",0.062,2016
"LA",0.062,2017
"LA",0.062,2018
"LA",0.062,2019
"LA",0.062,2020
