iso_code3,Region,Year,frac_inen_energy_electronics_electricity
LA,louisiana,2000,0.4905436064079574
LA,louisiana,2001,0.5082654978083907
LA,louisiana,2002,0.5093466571276914
LA,louisiana,2003,0.5309026339153596
LA,louisiana,2004,0.5364613667249079
LA,louisiana,2005,0.5665037693677312
LA,louisiana,2006,0.5628658577612309
LA,louisiana,2007,0.5526615714668812
LA,louisiana,2008,0.5603874834483239
LA,louisiana,2009,0.5823764051734558
LA,louisiana,2010,0.5817353461172311
LA,louisiana,2011,0.5819572553430821
LA,louisiana,2012,0.5659034849155652
LA,louisiana,2013,0.569480136495766
LA,louisiana,2014,0.4924875908111797
LA,louisiana,2015,0.5183809930288804
LA,louisiana,2016,0.4828578868186552
LA,louisiana,2017,0.4826767312666977
LA,louisiana,2018,0.4831599905322807
LA,louisiana,2019,0.4701651005998832
LA,louisiana,2020,0.4680380869233078
