iso_code3,Region,Year,frac_inen_energy_recycled_paper_natural_gas
LA,louisiana,2000,0.1992836929607357
LA,louisiana,2001,0.2019133841064933
LA,louisiana,2002,0.2044765834827616
LA,louisiana,2003,0.1948783406461906
LA,louisiana,2004,0.185858354717968
LA,louisiana,2005,0.1753285953977909
LA,louisiana,2006,0.1625821450452794
LA,louisiana,2007,0.1624468602100636
LA,louisiana,2008,0.1567380690976196
LA,louisiana,2009,0.1608565529323433
LA,louisiana,2010,0.1848486755740977
LA,louisiana,2011,0.181821876792319
LA,louisiana,2012,0.1979961255851477
LA,louisiana,2013,0.1995985227195213
LA,louisiana,2014,0.2216187477847507
LA,louisiana,2015,0.2216944822051525
LA,louisiana,2016,0.2240679128588016
LA,louisiana,2017,0.2028698953476808
LA,louisiana,2018,0.1955303269461006
LA,louisiana,2019,0.2710421499540421
LA,louisiana,2020,0.2968389905255071
