iso_code3,Region,Year,frac_inen_energy_cement_coal
LA,louisiana,2000,0.2795117929668622
LA,louisiana,2001,0.2863221795646328
LA,louisiana,2002,0.2876975842529078
LA,louisiana,2003,0.2874415431616621
LA,louisiana,2004,0.2748648188762005
LA,louisiana,2005,0.2691983764104222
LA,louisiana,2006,0.2759781392467103
LA,louisiana,2007,0.2820038235900511
LA,louisiana,2008,0.2813569837572848
LA,louisiana,2009,0.2568227579451458
LA,louisiana,2010,0.2921604663517452
LA,louisiana,2011,0.2784943473792395
LA,louisiana,2012,0.2786494676266993
LA,louisiana,2013,0.2846271092706746
LA,louisiana,2014,0.298262169485191
LA,louisiana,2015,0.3097686524002314
LA,louisiana,2016,0.2904484523159959
LA,louisiana,2017,0.2939274968221532
LA,louisiana,2018,0.2373652255835863
LA,louisiana,2019,0.2223789651552779
LA,louisiana,2020,0.1949300625866341
