iso_code3,year,yf_agrc_bevs_and_spices_tonne_ha,yf_agrc_cereals_tonne_ha,yf_agrc_fibers_tonne_ha,yf_agrc_fruits_tonne_ha,yf_agrc_herbs_and_other_perennial_crops_tonne_ha,yf_agrc_nuts_tonne_ha,yf_agrc_other_annual_tonne_ha,yf_agrc_other_woody_perennial_tonne_ha,yf_agrc_pulses_tonne_ha,yf_agrc_rice_tonne_ha,yf_agrc_sugar_cane_tonne_ha,yf_agrc_tubers_tonne_ha,yf_agrc_vegetables_and_vines_tonne_ha
USA,2011,1.3518,4.603633333333334,2.5448,20.85372857142857,13.211333333333336,3.626916666666667,2.01282,0.0,2.384014285714286,7.9209,75.0762,32.719225,28.994
USA,2012,1.2859,4.463422222222222,2.7251000000000003,21.430875,12.697466666666667,3.8549833333333337,1.80396,0.0,2.564285714285714,8.3651,80.0565,36.181175,29.15369523809524
USA,2013,0.9569,4.863644444444445,2.4977,21.05552857142857,12.6661,3.5621333333333336,1.9610400000000003,0.0,2.546357142857143,8.6232,75.7099,36.07005,28.571080952380957
USA,2014,0.9068,5.011744444444445,2.5886,20.275064285714286,12.5539,3.443416666666667,2.05998,0.0,2.467971428571429,8.491900000000001,78.5279,35.664525000000005,29.048938095238096
USA,2015,0.8566,5.674733333333334,2.5917000000000003,20.037589285714287,12.059233333333331,2.9468,2.09242,0.0,3.1096000000000004,8.372200000000001,81.15350000000001,37.5471,28.82144761904762
USA,2016,0.6926,5.398866666666667,2.6206,20.479992857142857,12.5398,3.455483333333334,2.18788,0.0,2.575114285714286,8.1121,79.72420000000001,39.0001,29.765171428571428
USA,2017,0.756,5.373122222222222,2.6713,19.99482142857143,12.161233333333334,3.041816666666667,1.9493400000000003,0.0,2.254928571428572,8.4147,82.4123,39.119475,28.72059523809524
USA,2018,0.8676,5.257922222222222,2.6954,18.94892857142857,12.289166666666668,3.375283333333334,2.12914,0.0,2.446557142857143,8.6213,86.0642,37.352525,29.482347619047623
USA,2019,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2020,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2021,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2022,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2023,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2024,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2025,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2026,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2027,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2028,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2029,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2030,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2031,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2032,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2033,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2034,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2035,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2036,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2037,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2038,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2039,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2040,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2041,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2042,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2043,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2044,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2045,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2046,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2047,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2048,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
USA,2049,0.8315,5.6105,2.7278,20.23860714285714,12.3377,2.992183333333333,2.03316,0.0,2.563142857142857,8.3759,78.39800000000001,38.55185,32.76977619047619
